Project,Concepts,Count
Commandline,-1,372
Commandline,2,335
Commandline,3,37
Commandline,4,0
CommonMark,-1,52
CommonMark,2,52
CommonMark,3,0
CommonMark,4,0
Hangfire,-1,386
Hangfire,2,282
Hangfire,3,104
Hangfire,4,0
Humanizer,-1,89
Humanizer,2,85
Humanizer,3,4
Humanizer,4,0
Lean,-1,178
Lean,2,154
Lean,3,24
Lean,4,0
Nancy,-1,435
Nancy,2,343
Nancy,3,92
Nancy,4,0
Newtonsoft.Json,-1,94
Newtonsoft.Json,2,84
Newtonsoft.Json,3,10
Newtonsoft.Json,4,0
Ninject,-1,82
Ninject,2,82
Ninject,3,0
Ninject,4,0
RestSharp,-1,153
RestSharp,2,124
RestSharp,3,29
RestSharp,4,0
Overall,-1,1841
Overall,2,1541
Overall,3,300
Overall,4,0
